combo,realization,seed,n_sne,logz,pkl_path,alpha,beta,gamma,Om0,gamma_alpha,sn_tau,zeta
mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha,35,2035,1820,-466.19455840276237,Plots/z_uncert/z_035_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha_results.pkl,0.17423907282640724,3.7631006177970585,0.06446143503114926,0.35905358071308024,-0.3110052962805289,1.496602341288297,-0.11061061871945095
mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha,36,2036,1820,-445.42637197362967,Plots/z_uncert/z_036_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha_results.pkl,0.17643048810798764,3.7828265929234504,0.06496482418623634,0.3506931228790481,-0.32877861818805426,1.4470216702522283,-0.11158918019183216
mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha,37,2037,1820,-455.4807181195146,Plots/z_uncert/z_037_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha_results.pkl,0.17748464042844544,3.755552327148478,0.06723361567866849,0.35039111527513755,-0.35255711990183003,1.5148195671246705,-0.10053641705933657
mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha,38,2038,1820,-454.53971002386356,Plots/z_uncert/z_038_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha_results.pkl,0.17891717547067915,3.792368542361173,0.07143727243375589,0.3470215901286991,-0.3476545326101464,1.518428223319555,-0.09669363142125838
mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha,39,2039,1820,-441.962443884605,Plots/z_uncert/z_039_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha_results.pkl,0.1765985274256902,3.780486369562791,0.06962470763961799,0.3491036215693619,-0.3046920338660577,1.4401632769636359,-0.1031861712913852
mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha,40,2040,1820,-448.4404737747754,Plots/z_uncert/z_040_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha_results.pkl,0.1769180450725849,3.7865691870450346,0.06866723674808858,0.3505414012510593,-0.29852770379643845,1.4800154344345815,-0.10295706709770346
mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha,41,2041,1820,-452.1587141216975,Plots/z_uncert/z_041_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha_results.pkl,0.17526523924265194,3.748504201731359,0.06039654657992398,0.3501073823457569,-0.31568772620673374,1.5362316037068162,-0.11234951959169454
mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha,42,2042,1820,-445.2508023595884,Plots/z_uncert/z_042_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha_results.pkl,0.17817084988927856,3.7713516013775514,0.060898983244597645,0.35302393466966564,-0.32101036971637376,1.4954988722760443,-0.11127801617431239
mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha,43,2043,1820,-448.08071884438874,Plots/z_uncert/z_043_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha_results.pkl,0.17671696661217506,3.770431283971476,0.06696703849891637,0.3552337437631043,-0.30776488517779477,1.5069030306366489,-0.10254639040334357
mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha,44,2044,1820,-448.5397888724261,Plots/z_uncert/z_044_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha_results.pkl,0.17517920146826566,3.81946685019368,0.06081223991656191,0.35879799800182416,-0.36187894345764215,1.395031910239846,-0.10538505830479561
mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha,45,2045,1820,-444.3021129083835,Plots/z_uncert/z_045_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha_results.pkl,0.17851493442215427,3.7646949431182466,0.06187157151277191,0.3497617522573807,-0.32591517573177137,1.521858221073556,-0.1066177250981549
mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha,46,2046,1820,-449.69842421751935,Plots/z_uncert/z_046_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha_results.pkl,0.17697598723609062,3.774560365383442,0.06370714406235545,0.3460349047692401,-0.2985402632301825,1.4834373750885737,-0.10675314748454279
mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha,47,2047,1820,-444.2943171230082,Plots/z_uncert/z_047_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha_results.pkl,0.17621279665764297,3.7759372023996227,0.06576472399992386,0.3518686077301106,-0.32103083618492595,1.5099545073157616,-0.10158071802221584
mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha,48,2048,1820,-447.7675938440115,Plots/z_uncert/z_048_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha_results.pkl,0.17760027301019624,3.81495000121235,0.06555445080406468,0.3504934750116174,-0.3026579132613071,1.4396127490383102,-0.10707644506405795
mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha,49,2049,1820,-445.7067950006159,Plots/z_uncert/z_049_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha_results.pkl,0.17858339490166364,3.7689730421419876,0.06649651109944829,0.34756838887173935,-0.32640409647727253,1.4994455013989412,-0.10635608960007248
mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha,50,2050,1820,-445.3024421863789,Plots/z_uncert/z_050_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha_results.pkl,0.17753563496337058,3.788071301231699,0.06459265306991657,0.3502171379202783,-0.29231903115594005,1.4701189250016236,-0.11036169252320989
mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha,51,2051,1820,-450.2701971244633,Plots/z_uncert/z_051_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha_results.pkl,0.17701884126776793,3.7990670711571717,0.07374911470398032,0.35176579163267824,-0.30157940157654395,1.4392202007453851,-0.09956106677588084
mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha,52,2052,1820,-448.22983350776303,Plots/z_uncert/z_052_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha_results.pkl,0.1765216621787921,3.7809910626317835,0.060806855599726116,0.35613506123492367,-0.3601687687190682,1.478179594434996,-0.10386078256506967
mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha,53,2053,1820,-461.2223979922204,Plots/z_uncert/z_053_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha_results.pkl,0.1774679028010101,3.751093217821539,0.06605307365612713,0.34800927349381744,-0.3335437102096934,1.579528920538367,-0.10211655832163195
mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha,54,2054,1820,-456.00367868040183,Plots/z_uncert/z_054_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha_results.pkl,0.1765323951283031,3.7467096942342732,0.062013855848426946,0.35114154759946414,-0.3280961393946692,1.5563740729345845,-0.10645575743630481
mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha,55,2055,1820,-450.82749447636047,Plots/z_uncert/z_055_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha_results.pkl,0.17689436448430698,3.795621572713972,0.07051175338981448,0.3472784251712861,-0.303575583246652,1.4717178388550705,-0.10479736952093474
mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha,56,2056,1820,-440.7492481840685,Plots/z_uncert/z_056_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha_results.pkl,0.17737582109506972,3.781323993908373,0.06763954605558567,0.3504397779953574,-0.3494014922432437,1.4659796247404924,-0.09991602626861017
mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha,57,2057,1820,-445.76307383173605,Plots/z_uncert/z_057_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha_results.pkl,0.1753218075581031,3.7836685956056306,0.06440209083571255,0.3504653912789297,-0.318158837644032,1.4206820699621399,-0.10681608097346845
mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha,58,2058,1820,-457.7183057236712,Plots/z_uncert/z_058_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha_results.pkl,0.17691544113307464,3.7695664560652475,0.06098132667299203,0.3559751848265523,-0.31172603047229663,1.470765585619767,-0.10979100225065505
mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha,59,2059,1820,-453.8353397313198,Plots/z_uncert/z_059_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha_results.pkl,0.1747812140467015,3.7717137542564485,0.06116393644868234,0.35563557508930294,-0.3301767113604413,1.4781921950736112,-0.10776608563396277
mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha,60,2060,1820,-455.8340523600589,Plots/z_uncert/z_060_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha_results.pkl,0.17517347587393994,3.8072870769512517,0.0637699646209771,0.34601390492821194,-0.32910037773798695,1.4132562637224084,-0.10530246130420913
mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha,61,2061,1820,-452.9064976432174,Plots/z_uncert/z_061_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha_results.pkl,0.17590532424969862,3.7657529648405563,0.06353552017561324,0.35174427905730327,-0.31745897554468344,1.5056946076861997,-0.1026165511358772
mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha,62,2062,1820,-451.81707489864084,Plots/z_uncert/z_062_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha_results.pkl,0.1775285108340124,3.7491868107956146,0.06454760091003502,0.3497108563678956,-0.3094420486248678,1.5134465522412743,-0.10764976043119251
mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha,63,2063,1820,-432.5291498299782,Plots/z_uncert/z_063_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha_results.pkl,0.1766075558587712,3.737764505260823,0.06688529852930339,0.352936262881939,-0.3399562243217795,1.574024427042797,-0.10493343701581617
mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha,64,2064,1820,-462.8179515864019,Plots/z_uncert/z_064_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha_results.pkl,0.17424302431492034,3.774467961329857,0.06061875782183982,0.3547121021818674,-0.3752319776054041,1.5078497185314241,-0.10367071338723002
mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha,65,2065,1820,-441.3372087267806,Plots/z_uncert/z_065_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha_results.pkl,0.17825771619488484,3.761061235721764,0.06883186392452742,0.3535683192216518,-0.32930498921474494,1.5296746922049123,-0.10009131068849836
