run_name,param,prior_type,prior_mu,prior_sigma,post_mean,post_std,shrinkage,pull,flag
sn_col_model/sncolour_gaussweight_c0_sntau,Om0,truncated_gaussian,0.3175,0.0275,0.35713,0.01578,0.4262,1.4411,
host_col_model/host_colour_sigmoid_mass_tanh_inter_only_M0,M0,truncated_gaussian,10.0,0.4,10.84985,0.22939,0.4265,2.1246,
ssfr/ssfr_sigmoid_F0,Om0,truncated_gaussian,0.3175,0.0275,0.35943,0.01577,0.4265,1.5247,
ssfr/ssfr_smooth_F0_tanh_wide_ftau,Om0,truncated_gaussian,0.3175,0.0275,0.36006,0.01577,0.4265,1.5476,
host_col_model/host_colour_tanh_mass_none_htau,Om0,truncated_gaussian,0.3175,0.0275,0.3597,0.01576,0.4269,1.5345,
ssfr/ssfr_sigmoid_F0ftau_uniformftau,Om0,truncated_gaussian,0.3175,0.0275,0.35885,0.01576,0.4269,1.5036,
ssfr/ssfr_replace_both_step_nomass_nohcol_F0,Om0,truncated_gaussian,0.3175,0.0275,0.35689,0.01576,0.4269,1.4324,
interaction/all_interaction_terms,Om0,truncated_gaussian,0.3175,0.0275,0.35552,0.01575,0.4273,1.3825,
sn_col_model/sncolour_gaussweight,Om0,truncated_gaussian,0.3175,0.0275,0.35964,0.01574,0.4276,1.5324,
ssfr/ssfr_smooth_F0_step_broadF0,Om0,truncated_gaussian,0.3175,0.0275,0.35923,0.01574,0.4276,1.5175,
